question,answer,text
Chicago's St Valentine's Day Massacre (of seven Bugs Moran gang members by those of Al Capone) was in which year?,1929,Chicago's St Valentine's Day Massacre (of seven Bugs Moran gang members by those of Al Capone) was in which year? 1929
"""The pop group """"Simply Red"""" had over 20 hit records in the top twenty. What was their only Number One?""",FAIRGROUND,"""The pop group """"Simply Red"""" had over 20 hit records in the top twenty. What was their only Number One?"" FAIRGROUND"
In the Diamond Jubilee Thames Pageant what was the name of the boat carrying the Queen?,THE SPIRIT OF CHARTWELL,In the Diamond Jubilee Thames Pageant what was the name of the boat carrying the Queen? THE SPIRIT OF CHARTWELL
The flower convallaria is better known as what?,Lily of the Valley,The flower convallaria is better known as what? Lily of the Valley
In which European country is the resort of Antibes known for Roman remains?,FRANCE,In which European country is the resort of Antibes known for Roman remains? FRANCE
Which battle began on 1st. July 1916?,THE BATTLE OF THE SOMME,Which battle began on 1st. July 1916? THE BATTLE OF THE SOMME
Who was the World’s first Christian martyr?,St Stephen,Who was the World’s first Christian martyr? St Stephen
"""A television film released by Disney Channel Original Movie in 2006 was """"High School ..."""" what?""",Musical,"""A television film released by Disney Channel Original Movie in 2006 was """"High School ..."""" what?"" Musical"
The left and right ventricles and the left and right atriums are found where in the human body?,Heart,The left and right ventricles and the left and right atriums are found where in the human body? Heart
Which poet wrote 'The Raven'?,Edgar Allen Poe,Which poet wrote 'The Raven'? Edgar Allen Poe
What U.S. state is known as the Lone Star state?,Texas,What U.S. state is known as the Lone Star state? Texas
What RAF squardron number was nicknamed The Dambusters?,617,What RAF squardron number was nicknamed The Dambusters? 617
"What name is given to the microscopic plants found in great numbers in rivers, lakes, and oceans?",Algae,"What name is given to the microscopic plants found in great numbers in rivers, lakes, and oceans? Algae"
Who won The X Factor 2013 ?,SAM BAILEY,Who won The X Factor 2013 ? SAM BAILEY
Which US Marine explorer discovered the wreck of the Titanic?,Robert Ballard,Which US Marine explorer discovered the wreck of the Titanic? Robert Ballard
"Playing on the title of another of the director's films, which 1984 movie starred Robert de Niro and James Woods as Jewish ghetto youths who rise to prominence in New York City's world of organised crime?",'ONCE UPON A TIME IN AMERICA',"Playing on the title of another of the director's films, which 1984 movie starred Robert de Niro and James Woods as Jewish ghetto youths who rise to prominence in New York City's world of organised crime? 'ONCE UPON A TIME IN AMERICA'"
Who was the only posthumous World Motor Racing Champion?,JOCHEN RINDT,Who was the only posthumous World Motor Racing Champion? JOCHEN RINDT
"Miss Able and Miss Baker, the first living creatures to return alive to Earth from space, aboard the flight Jupiter AM-18 in 1959, were what type of animals?",Monkeys,"Miss Able and Miss Baker, the first living creatures to return alive to Earth from space, aboard the flight Jupiter AM-18 in 1959, were what type of animals? Monkeys"
The first cancellation to be used on British postage stamps in 1840 was of what form?,A (MALTESE) CROSS,The first cancellation to be used on British postage stamps in 1840 was of what form? A (MALTESE) CROSS
"What is a Chinese-inspired meat dumpling-style snack food that normally consists of a large ball of pork or other meat, cabbage and flavourings, encased in a wrapper similar to that of a more traditional dumpling?",Dim sim,"What is a Chinese-inspired meat dumpling-style snack food that normally consists of a large ball of pork or other meat, cabbage and flavourings, encased in a wrapper similar to that of a more traditional dumpling? Dim sim"
The motto of which university is “Learn and Live”?,Open University,The motto of which university is “Learn and Live”? Open University
What type of snake is a sidewinder?,Rattlesnake,What type of snake is a sidewinder? Rattlesnake
"""Shakespeare's """"King Lear"""" is set in which country?""",England,"""Shakespeare's """"King Lear"""" is set in which country?"" England"
Which former politician has been dubbed ‘Doris Karloff’?,ANN WIDDECOMBE,Which former politician has been dubbed ‘Doris Karloff’? ANN WIDDECOMBE
"Which French realist painter, who lived from 1814 - 1875, specialised in peasant life?",JEAN MILLET,"Which French realist painter, who lived from 1814 - 1875, specialised in peasant life? JEAN MILLET"
Which record by Culture Club was the best-selling UK single of 1983?,KARMA CHAMELEON,Which record by Culture Club was the best-selling UK single of 1983? KARMA CHAMELEON
How many housing property squares are there on a Monopoly board?,22,How many housing property squares are there on a Monopoly board? 22
In which city is the tomb of Saint Ignatius Loyola?,Rome,In which city is the tomb of Saint Ignatius Loyola? Rome
"A symbol comprising three dots, which if joined form an upright equilateral triangle, represents what word?",Therefore,"A symbol comprising three dots, which if joined form an upright equilateral triangle, represents what word? Therefore"
Which ex heavyweight boxing champion's last ever fight took place on June 11th 2006 and ended in a defeat by Ireland's Kevin McBride in Washington DC?,MIKE TYSON,Which ex heavyweight boxing champion's last ever fight took place on June 11th 2006 and ended in a defeat by Ireland's Kevin McBride in Washington DC? MIKE TYSON
"""Which female singer had a number 1 hit record with """"I'll never fall in love again""""which topped the charts in August 1969 ?""",BOBBY GENTRY,"""Which female singer had a number 1 hit record with """"I'll never fall in love again""""which topped the charts in August 1969 ?"" BOBBY GENTRY"
"Alexandra, the Queen of Edward VII, was the daughter of the king of which country?",Denmark,"Alexandra, the Queen of Edward VII, was the daughter of the king of which country? Denmark"
What was the name of the oil tanker that split into three after running aground off the coast of Brittany in 1978?,AMOCO CADIZ,What was the name of the oil tanker that split into three after running aground off the coast of Brittany in 1978? AMOCO CADIZ
"Name the Soviet Russian orbiting space station, continuously occupied 1989-99 until its replacement by the International Space Station?",Mir,"Name the Soviet Russian orbiting space station, continuously occupied 1989-99 until its replacement by the International Space Station? Mir"
"According to the fairy tale Cinderella, what vegetable gets turned into the carriage?",A pumpkin,"According to the fairy tale Cinderella, what vegetable gets turned into the carriage? A pumpkin"
If you are holding a musical instrument with F-holes what are you likely to be holding?,A bowed string instrument,If you are holding a musical instrument with F-holes what are you likely to be holding? A bowed string instrument
"What is the name of the chief muscle used in breathing, which separates the thoracic cavity from the abdominal cavity?",Diaphragm,"What is the name of the chief muscle used in breathing, which separates the thoracic cavity from the abdominal cavity? Diaphragm"
"""A """"mufti"""" is a legal expert in what religion?""",Islam,"""A """"mufti"""" is a legal expert in what religion?"" Islam"
"Which British group released the albums 'Pablo Honey', 'The Bands' and 'OK Computer' in the 1990s?",Radiohead,"Which British group released the albums 'Pablo Honey', 'The Bands' and 'OK Computer' in the 1990s? Radiohead"
What is the name of the orphan girl raised by Miss Havisham in ‘Great Expectations’?,ESTELLA,What is the name of the orphan girl raised by Miss Havisham in ‘Great Expectations’? ESTELLA
What type of drink did the British take in India as ananti- malarial?,TONIC WATER,What type of drink did the British take in India as ananti- malarial? TONIC WATER
"Who designed 'The Willow Tearooms' at 217 Sauchiehall Street, Glasgow?",CHARLES RENNIE MACKINTOSH,"Who designed 'The Willow Tearooms' at 217 Sauchiehall Street, Glasgow? CHARLES RENNIE MACKINTOSH"
In which town is the University of Ulster based?,COLERAINE,In which town is the University of Ulster based? COLERAINE
Which Greek philosopher lived in a tub?,Diogenes,Which Greek philosopher lived in a tub? Diogenes
Who stars in the TV NHS black-comedy Getting On and has appeared on QI 29 times?,Jo Brand,Who stars in the TV NHS black-comedy Getting On and has appeared on QI 29 times? Jo Brand
In which Shakespeare play does Dogberry appear?,Much Ado About Nothing,In which Shakespeare play does Dogberry appear? Much Ado About Nothing
I Which ocean liner rescued the majority of the Titanic's survivors?,The Carpathia,I Which ocean liner rescued the majority of the Titanic's survivors? The Carpathia
Former British surgeon Andrew Wakefield became famous in 1998 with his publication Of his research paper which claimed that the vaccine MMR was linked with which human condition ?,AUTISM,Former British surgeon Andrew Wakefield became famous in 1998 with his publication Of his research paper which claimed that the vaccine MMR was linked with which human condition ? AUTISM
What is the French for Wednesday?,MERCREDI,What is the French for Wednesday? MERCREDI
"What influential American philosopher and author wrote the book 'Walden, or Life in the Woods'?",Henry David Thoreau,"What influential American philosopher and author wrote the book 'Walden, or Life in the Woods'? Henry David Thoreau"
Bosintang/Boshintang (or Gaejangguk) is a Korean soup of declining popularity made chiefly of what meat?,Dog,Bosintang/Boshintang (or Gaejangguk) is a Korean soup of declining popularity made chiefly of what meat? Dog
"Derived from Latin, what is the name of the pole used to propel and steer a punt?",Quant,"Derived from Latin, what is the name of the pole used to propel and steer a punt? Quant"
Harvard University is in Cambridge. True or false?,True,Harvard University is in Cambridge. True or false? True
What was the first name of British film producer J Arthur Rank?,Joseph,What was the first name of British film producer J Arthur Rank? Joseph
Which film contains the line I'm going to cut your heart out with a spoon!,Robin Hood:Prince of Thieves,Which film contains the line I'm going to cut your heart out with a spoon! Robin Hood:Prince of Thieves
"What state, earlier known as the Bohemian Kingdom and part of the Austro-Hungarian Empire at the time of the Empire's dissolution at the end of World War I, was formed in 1918?",Czechoslovakia,"What state, earlier known as the Bohemian Kingdom and part of the Austro-Hungarian Empire at the time of the Empire's dissolution at the end of World War I, was formed in 1918? Czechoslovakia"
"Due to the large number of languages used in the European Union, its anthem is purely instrumental. Despite this, the German lyrics from what work of Friedrich Schiller, connected to Beethoven, are often sung when the anthem is played?",Ode to Joy,"Due to the large number of languages used in the European Union, its anthem is purely instrumental. Despite this, the German lyrics from what work of Friedrich Schiller, connected to Beethoven, are often sung when the anthem is played? Ode to Joy"
What was Mrs Fawlty's Christian name in the TV series Fawlty Towers ?,Sybil,What was Mrs Fawlty's Christian name in the TV series Fawlty Towers ? Sybil
In which did the franc become the single currency in 1850?,Switzerland,In which did the franc become the single currency in 1850? Switzerland
Ailurophobia is a fear of what?,Cats,Ailurophobia is a fear of what? Cats
In which year did the Munich Air Disaster happen?,1958,In which year did the Munich Air Disaster happen? 1958
What is the colour of the mineral cinnabar?,Red,What is the colour of the mineral cinnabar? Red
"""In the words of the old song, """"My old man said 'Follow the van, and don't ... what ... On the way' """"?""",Dilly dally,"""In the words of the old song, """"My old man said 'Follow the van, and don't ... what ... On the way' """"?"" Dilly dally"
What letter is two dot's in Morse code?,L,What letter is two dot's in Morse code? L
What is the SI unit of Pressure or Stress?,PASCAL,What is the SI unit of Pressure or Stress? PASCAL
Of which famous public school was Thomas Arnold headmaster from 1828 to 1842,Rugby,Of which famous public school was Thomas Arnold headmaster from 1828 to 1842 Rugby
What flavoring is used in the liqueur amaretto?,Almond,What flavoring is used in the liqueur amaretto? Almond
Viktor Orban aged 50 is the current Prime Minister of which country ?,HUNGARY,Viktor Orban aged 50 is the current Prime Minister of which country ? HUNGARY
"""What industry is sometimes referred to as """"Madison Avenue""""?""",Advertising,"""What industry is sometimes referred to as """"Madison Avenue""""?"" Advertising"
Who had a top ten hit in 1998 with Vindaloo,Fat Les,Who had a top ten hit in 1998 with Vindaloo Fat Les
What did George W Bush get from Tony Blair as a birthday present in 2006?,Sweater,What did George W Bush get from Tony Blair as a birthday present in 2006? Sweater
"Based upon a 1987 historical fantasy novel by Tim Powers, what is the name and inspiration for the fourth installment of the Pirates of the Caribbean film series?",On Stranger Tides,"Based upon a 1987 historical fantasy novel by Tim Powers, what is the name and inspiration for the fourth installment of the Pirates of the Caribbean film series? On Stranger Tides"
"Since World War II, which United States President has been awarded a Nobel prize?",JIMMY CARTER,"Since World War II, which United States President has been awarded a Nobel prize? JIMMY CARTER"
"Who plays Robert Crawley, Earl of Grantham in `Downton Abbey'?",HUGH BONNEVILLE,"Who plays Robert Crawley, Earl of Grantham in `Downton Abbey'? HUGH BONNEVILLE"
"In the US television series ‘Spin City’, who played Randall Winston, the dim-witted Mayor of New York City?",Barry Bostwick,"In the US television series ‘Spin City’, who played Randall Winston, the dim-witted Mayor of New York City? Barry Bostwick"
Who sailed in the Nina - Pinta and Santa Maria?,Christopher Columbus,Who sailed in the Nina - Pinta and Santa Maria? Christopher Columbus
Which country has won the most medals at the European Beach Volleyball Championship (later known as the Nestea European Championship Final) between 2000 and 2008 inclusive?,Switzerland,Which country has won the most medals at the European Beach Volleyball Championship (later known as the Nestea European Championship Final) between 2000 and 2008 inclusive? Switzerland
Who devised the TV series 'Citizen Smith'?,JOHN SULLIVAN,Who devised the TV series 'Citizen Smith'? JOHN SULLIVAN
Which George Bernard Shaw play centres around the Salvation Army?,Major Barbara,Which George Bernard Shaw play centres around the Salvation Army? Major Barbara
What is the total if you add the number shirts of the two flankers in rugby union?,thirteen,What is the total if you add the number shirts of the two flankers in rugby union? thirteen
Which actor played Maxwell Smart?,Don Adams,Which actor played Maxwell Smart? Don Adams
Who was the first unseeded tennis player to win the Wimbledon Men’s Finals?,Boris Becker,Who was the first unseeded tennis player to win the Wimbledon Men’s Finals? Boris Becker
What is the alternative title of the WH Auden poem which begins 'Stop all the clocks ....'?,FUNERAL BLUES,What is the alternative title of the WH Auden poem which begins 'Stop all the clocks ....'? FUNERAL BLUES
Had an eponymous show on MTV in 1999-2000; Had a short lived marriage to Drew Barrymore,Tom Green,Had an eponymous show on MTV in 1999-2000; Had a short lived marriage to Drew Barrymore Tom Green
From what is banana oil made?,Petroleum,From what is banana oil made? Petroleum
Where are the Indy Car races held?,"Indianapolis, USA","Where are the Indy Car races held? Indianapolis, USA"
Who is the Celtic sun-god?,Lugh,Who is the Celtic sun-god? Lugh
"What nationality was Bob Charles, winner of golf's British Open in 1963?",NEW ZEALAND,"What nationality was Bob Charles, winner of golf's British Open in 1963? NEW ZEALAND"
What to the Inuit people are mukluks?,BOOTS,What to the Inuit people are mukluks? BOOTS
Former Spice Girl Melanie Chisholm dueted with which Canadian singer-songwriter on the 1998 single ‘When You’re Gone’?,Bryan Adams,Former Spice Girl Melanie Chisholm dueted with which Canadian singer-songwriter on the 1998 single ‘When You’re Gone’? Bryan Adams
In which English city did the Battle of Peterloo take place,Manchester,In which English city did the Battle of Peterloo take place Manchester
What in 1972 was the first animated film to receive an X-rating in the USA?,Fritz the Cat,What in 1972 was the first animated film to receive an X-rating in the USA? Fritz the Cat
In which year did J. R. R. Tolkein die?,1973,In which year did J. R. R. Tolkein die? 1973
"In Greek mythology, who was the goddess of the rainbow?",Iris,"In Greek mythology, who was the goddess of the rainbow? Iris"
If you carry a white stick with red lines on it what is your disability,Blind and deaf,If you carry a white stick with red lines on it what is your disability Blind and deaf
The world's largest diamond at 530 carats is 'The Star of Africa'. In which of the Crown Jewels can it be found?,THE SCEPTRE,The world's largest diamond at 530 carats is 'The Star of Africa'. In which of the Crown Jewels can it be found? THE SCEPTRE
Who wrote the ballet 'The Three Cornered Hat' first performed in London in 1919?,Manuel de Falla,Who wrote the ballet 'The Three Cornered Hat' first performed in London in 1919? Manuel de Falla
By what name is acetylsalicylic acid more commonly known when kept in the medicine cupboard ?,ASPIRIN,By what name is acetylsalicylic acid more commonly known when kept in the medicine cupboard ? ASPIRIN
"The Neva, Vistula and Oder rivers flow into which sea?",Baltic,"The Neva, Vistula and Oder rivers flow into which sea? Baltic"
"In which of the Marx Brothers' films did Groucho Marx play the character 'Rufus T. Firefly, Prime Minister of Freedonia'?",'DUCK SOUP',"In which of the Marx Brothers' films did Groucho Marx play the character 'Rufus T. Firefly, Prime Minister of Freedonia'? 'DUCK SOUP'"
Bamako is the capital of which West African Republic?,MALI,Bamako is the capital of which West African Republic? MALI
What is the name for someone who engages in the scientific study of fermentation?,Zymurgist,What is the name for someone who engages in the scientific study of fermentation? Zymurgist
"Named after its inventor, what is the signal lamp used to transmit Morse Code, devised in the late 1800s and still used today on naval ships?",Aldis Lamp,"Named after its inventor, what is the signal lamp used to transmit Morse Code, devised in the late 1800s and still used today on naval ships? Aldis Lamp"
Which is the closet planet to the sun to have a moon ?,Earth,Which is the closet planet to the sun to have a moon ? Earth
Dydd Sadwrn is Welsh for which day of the week?,Saturday,Dydd Sadwrn is Welsh for which day of the week? Saturday
The Bible. Who was the royal person who questioned the wisdom of Solomon?,The QUEEN OF SHEBA,The Bible. Who was the royal person who questioned the wisdom of Solomon? The QUEEN OF SHEBA
What is the surname of Rebecca in the novel by Daphne du Maurier?,De Winter,What is the surname of Rebecca in the novel by Daphne du Maurier? De Winter
Which isolated British island is half way between Easter Island and Tahiti?,PITCAIRN ISLAND,Which isolated British island is half way between Easter Island and Tahiti? PITCAIRN ISLAND
What is the upper house of the British Parliament?,House of Lords,What is the upper house of the British Parliament? House of Lords
What is the name for the process of heating milk to lengthen its shelf life?,Pasteurization,What is the name for the process of heating milk to lengthen its shelf life? Pasteurization
Brer Rabbit stories originated as Cherokee myths but which author compiled the Brer Rabbit stories?,JOEL CHANDLER HARRIS,Brer Rabbit stories originated as Cherokee myths but which author compiled the Brer Rabbit stories? JOEL CHANDLER HARRIS
What is the surname of Sam in the US television series ‘Cheers’?,Malone,What is the surname of Sam in the US television series ‘Cheers’? Malone
Who directed the 1969 film 'Easy Rider'?,DENNIS HOPPER,Who directed the 1969 film 'Easy Rider'? DENNIS HOPPER
Elaine Bookbinder is the real name of which Mancunian singer?,ELKIE BROOKS,Elaine Bookbinder is the real name of which Mancunian singer? ELKIE BROOKS
Which chemical has the formula SO2?,Sulphur Dioxide,Which chemical has the formula SO2? Sulphur Dioxide
"What semi-precious stone decorated Tutankhamun's burial mask, and is the colour of the American Robin's eggs?",Turquoise,"What semi-precious stone decorated Tutankhamun's burial mask, and is the colour of the American Robin's eggs? Turquoise"
Which popular chocolates are named after a play by JM Barrie?,Quality Street,Which popular chocolates are named after a play by JM Barrie? Quality Street
To which native American tribe did Chief Crazy Horse belong?,THE SIOUX,To which native American tribe did Chief Crazy Horse belong? THE SIOUX
Which jazz singer was known as 'The King of Hi de Ho' ?,CAB CALLOWAY,Which jazz singer was known as 'The King of Hi de Ho' ? CAB CALLOWAY
In The Mikado who does Nanki-Poo love and eventually marry?,Yum Yum,In The Mikado who does Nanki-Poo love and eventually marry? Yum Yum
"If someone is born on the 24th May, what is their Zodiac sign?",Gemini,"If someone is born on the 24th May, what is their Zodiac sign? Gemini"
"The least densely populated country in the world, what is the largest island in the world, by area, that is not a continent?",Greenland,"The least densely populated country in the world, what is the largest island in the world, by area, that is not a continent? Greenland"
"""Who is involved in a """"curtain call""""?""",Performers,"""Who is involved in a """"curtain call""""?"" Performers"
Which element has atomic number 8?,OXYGEN,Which element has atomic number 8? OXYGEN
The English resort of Bournemouth lies on which body of water?,English Channel,The English resort of Bournemouth lies on which body of water? English Channel
Mora-Siljan Airport is in which European country?,Sweden,Mora-Siljan Airport is in which European country? Sweden
In which city are the headquarters of Mercedes?,STUTTGART,In which city are the headquarters of Mercedes? STUTTGART
Gunn-toting Wyatt Earp survived to what age?,80,Gunn-toting Wyatt Earp survived to what age? 80
What was the occupation of the George Eliot character of Silas Marner?,Weaver,What was the occupation of the George Eliot character of Silas Marner? Weaver
"""""""Service"""" is the way the ball is put into play in which game?""",Tennis,"""""""Service"""" is the way the ball is put into play in which game?"" Tennis"
Who presents 'Sounds Of The Sixties' on BBC Radio 2 on Saturday mornings?,BRIAN MATTHEW,Who presents 'Sounds Of The Sixties' on BBC Radio 2 on Saturday mornings? BRIAN MATTHEW
What is the common name of the creature Asterias Rubens?,Starfish,What is the common name of the creature Asterias Rubens? Starfish
How many people were in the band The Thompson Twins?,Three,How many people were in the band The Thompson Twins? Three
"Which boy band, active from 2008 to 2013, included Marvin Humes and Aston Merrygold?",JLS,"Which boy band, active from 2008 to 2013, included Marvin Humes and Aston Merrygold? JLS"
What was Michael Jackson's last UK No 1 of the 80s?,I Just Can't Stop Loving You,What was Michael Jackson's last UK No 1 of the 80s? I Just Can't Stop Loving You
"Anna Kournikova, Michelangelo, ILOVEYOU, and Melissa were examples of what?",Computer virus,"Anna Kournikova, Michelangelo, ILOVEYOU, and Melissa were examples of what? Computer virus"
Which river runs through Shrewsbury?,SEVERN,Which river runs through Shrewsbury? SEVERN
Born in Dublin in Ireland on July 6th 1936 what was the more famous name of the TV entertainer David Tynan O'Mahoney?,DAVE ALLEN,Born in Dublin in Ireland on July 6th 1936 what was the more famous name of the TV entertainer David Tynan O'Mahoney? DAVE ALLEN
'The Jordanaires' are an American singing group formed in 1948 best known for backing many of whose recordings?,Elvis Presley's,'The Jordanaires' are an American singing group formed in 1948 best known for backing many of whose recordings? Elvis Presley's
"The 1975 TV series The Invisible Man starred which actor, who also appeared in Colditz in the same year?",David McCallum.,"The 1975 TV series The Invisible Man starred which actor, who also appeared in Colditz in the same year? David McCallum."
What value American banknote has the United States Capitol on its reverse?,$50,What value American banknote has the United States Capitol on its reverse? $50
Which medieval organisation had the 'skull and crossbones' as a flag on their ships in the Middle Ages?,KNIGHTS TEMPLAR,Which medieval organisation had the 'skull and crossbones' as a flag on their ships in the Middle Ages? KNIGHTS TEMPLAR
"""What actor had the title role in the film """"The 40-Year-Old Virgin""""?""",Steve Carell,"""What actor had the title role in the film """"The 40-Year-Old Virgin""""?"" Steve Carell"
Spain's war in 1898 with which power resulted in its loss of sovereignty over Cuba and the Philippine Islands?,U S A,Spain's war in 1898 with which power resulted in its loss of sovereignty over Cuba and the Philippine Islands? U S A
Which oil tanker was wrecked off the Galapagos Islands in January 2001?,'JESSICA',Which oil tanker was wrecked off the Galapagos Islands in January 2001? 'JESSICA'
"New York has two cathedrals. One is being refurbished following a fire in 2001, and is dediacted to St. John the Divine. To whom is the other dedicated?",St Patrick,"New York has two cathedrals. One is being refurbished following a fire in 2001, and is dediacted to St. John the Divine. To whom is the other dedicated? St Patrick"
"In the UK, Prince Philip, the Duke of Edinburgh’s, birthday is celebrated during which month?",June,"In the UK, Prince Philip, the Duke of Edinburgh’s, birthday is celebrated during which month? June"
Which land-locked European country whose teams have excelled in water polo and fencing holds the record for having won the most medals of any nation to never host the Olympics?,Hungary,Which land-locked European country whose teams have excelled in water polo and fencing holds the record for having won the most medals of any nation to never host the Olympics? Hungary
"The villages of Soultz-les-Bains, Eguisheim, Riquewihr & Soulzmatt are all located at the heart of which French wine region?",Alsace,"The villages of Soultz-les-Bains, Eguisheim, Riquewihr & Soulzmatt are all located at the heart of which French wine region? Alsace"
Which team won baseball's first World Series of the 60s?,Pittsburg Pirates,Which team won baseball's first World Series of the 60s? Pittsburg Pirates
The Battles of Missolonghi in 1823 and 1826 occurred during which country's War of Independence?,GREECE,The Battles of Missolonghi in 1823 and 1826 occurred during which country's War of Independence? GREECE
The 1792 Battle of Valmy in which a citizen army defeated the Prussian army is significant for saving/preserving what?,French Revolution,The 1792 Battle of Valmy in which a citizen army defeated the Prussian army is significant for saving/preserving what? French Revolution
In which year did Freddie Mercury die of AIDS?,1991,In which year did Freddie Mercury die of AIDS? 1991
What is the first name of Scrooge’s former fiancee in the novel ‘A Christmas Carol’ by Charles Dickens?,Belle,What is the first name of Scrooge’s former fiancee in the novel ‘A Christmas Carol’ by Charles Dickens? Belle
"What are the next four words in the first line of the popular rhyme which starts Remember, remember the fifth of November?","Gunpowder, Treason and Plot","What are the next four words in the first line of the popular rhyme which starts Remember, remember the fifth of November? Gunpowder, Treason and Plot"
"The astronauts Dallas, Ripley, Kane, Lambert, Brett and Parker, are characters in which 1979 science fiction film ?",ALIEN,"The astronauts Dallas, Ripley, Kane, Lambert, Brett and Parker, are characters in which 1979 science fiction film ? ALIEN"
In which US state did the Battle of the Little Bighorn take place in 1876?,Montana,In which US state did the Battle of the Little Bighorn take place in 1876? Montana
Churning cream turns it into what?,Butter,Churning cream turns it into what? Butter
What city hosted the 2007 World Athletics Championships?,Osaka,What city hosted the 2007 World Athletics Championships? Osaka
"Which word can go after Black, Hard and Star to make three other words?",Board,"Which word can go after Black, Hard and Star to make three other words? Board"
A deciduous tree of the genus Betula is more commonly known as what?,BIRCH,A deciduous tree of the genus Betula is more commonly known as what? BIRCH
"""With whom did Lionel Ritchie duet on the 1981 hit """"Endless Love""""?""",Diana Ross,"""With whom did Lionel Ritchie duet on the 1981 hit """"Endless Love""""?"" Diana Ross"
Who was the losing presidential candidate to Lyndon B Johnson in 1964?,BARRY GOLDWATER,Who was the losing presidential candidate to Lyndon B Johnson in 1964? BARRY GOLDWATER
Prominent UK philanthropist Dr Naim Dangoor CBE set up and heads which charitable foundation?,The Exilarch's Foundation,Prominent UK philanthropist Dr Naim Dangoor CBE set up and heads which charitable foundation? The Exilarch's Foundation
"What was the worlds first nuclear powered aircraft carrier, still in commission with the US Navy",USS Enterprise,"What was the worlds first nuclear powered aircraft carrier, still in commission with the US Navy USS Enterprise"
"""Who played Esmeralda, to Charles Laughton's Quasimodo, in the 1939 version of the film, """"The Hunchback of Notre Dame""""?""",MAUREEN O'HARA,"""Who played Esmeralda, to Charles Laughton's Quasimodo, in the 1939 version of the film, """"The Hunchback of Notre Dame""""?"" MAUREEN O'HARA"
"""Which Latin poet wrote """"Satires"""", """"Epodes"""", """"Epistles"""" and """"Carmen Seculare""""?""",Horace,"""Which Latin poet wrote """"Satires"""", """"Epodes"""", """"Epistles"""" and """"Carmen Seculare""""?"" Horace"
"Which word for a thug, coined in San Francisco in the 19th century, comes from the German word for ragamuffin?",Hoodlum,"Which word for a thug, coined in San Francisco in the 19th century, comes from the German word for ragamuffin? Hoodlum"
In which James Bond film did the character Francisco Scaramanga appear?,The Man With The Golden Gun,In which James Bond film did the character Francisco Scaramanga appear? The Man With The Golden Gun
What is the second book of the Bible's Old Testament?,Exodus,What is the second book of the Bible's Old Testament? Exodus
Christians pilgrims to which Spanish city returned wearing a scallop shell in their hat bands?,Santiago de Compostela,Christians pilgrims to which Spanish city returned wearing a scallop shell in their hat bands? Santiago de Compostela
Which US president has a statue in Parliament Square,Abraham Lincoln,Which US president has a statue in Parliament Square Abraham Lincoln
In which German city did lens maker Carl Zeiss start making microscopes full-time in 1847?,Jena,In which German city did lens maker Carl Zeiss start making microscopes full-time in 1847? Jena
"Who was the virtual dictator who ruled Portugal for 36 years, from 1932 to 1968?",Antonio SALAZAR,"Who was the virtual dictator who ruled Portugal for 36 years, from 1932 to 1968? Antonio SALAZAR"
Who was the female winner of the 2002 London Marathon?,PAULA RADCLIFFE,Who was the female winner of the 2002 London Marathon? PAULA RADCLIFFE
What are people from Hamburg called,Hamburgers,What are people from Hamburg called Hamburgers
"The first playoff tiebreaker in Major League Baseball history was held on 1 & 3 October 1946, a best-of-three playoff to decide the winner of the MLB National League (NL) conference, between which 2 teams?",St. Louis Cardinals and Brooklyn Dodgers,"The first playoff tiebreaker in Major League Baseball history was held on 1 & 3 October 1946, a best-of-three playoff to decide the winner of the MLB National League (NL) conference, between which 2 teams? St. Louis Cardinals and Brooklyn Dodgers"
The ‘Qumran Scrolls’ are better known by what name?,Dead Sea Scrolls,The ‘Qumran Scrolls’ are better known by what name? Dead Sea Scrolls
which actor was the maternal grandfather of actress Joely Richardson?,Sir Michael Redgrave,which actor was the maternal grandfather of actress Joely Richardson? Sir Michael Redgrave
Professor Wallofski was a comic creation of which English comedian and actor?,MAX WALL,Professor Wallofski was a comic creation of which English comedian and actor? MAX WALL
"Saturday saw the untimely death of former Representative from New York, Ambassador to the UN Commission on Human Rights and first ever female Vice Presidential candidate, Geraldine Ferraro. Who was her presidential running mate?",Walter Mondale,"Saturday saw the untimely death of former Representative from New York, Ambassador to the UN Commission on Human Rights and first ever female Vice Presidential candidate, Geraldine Ferraro. Who was her presidential running mate? Walter Mondale"
In the Thomas The Tank Engine stories what or who is Bertie,A bus,In the Thomas The Tank Engine stories what or who is Bertie A bus
"Which dog appears in comics with Shaggy, Fred, Velma & Daphne?",Scooby-Doo,"Which dog appears in comics with Shaggy, Fred, Velma & Daphne? Scooby-Doo"
Who composed the opera 'The Cunning Little Vixen'?,LEOS JANACEK,Who composed the opera 'The Cunning Little Vixen'? LEOS JANACEK
What are the 'corns' in corned beef?,SALT,What are the 'corns' in corned beef? SALT
A myringotomy is an incision in what part of the human body?,Eardrum,A myringotomy is an incision in what part of the human body? Eardrum
"Who was the first General Secretary of the International Olympic Committee and later became its President, serving until 1924?",Baron de Coubertin,"Who was the first General Secretary of the International Olympic Committee and later became its President, serving until 1924? Baron de Coubertin"
What is the name of Snoopy's bird friend in the Peanuts comic strip?,Woodstock,What is the name of Snoopy's bird friend in the Peanuts comic strip? Woodstock
